Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,14,1,Some Random Commen with Id 0
1,0,0,139,8,Some Random Commen with Id 1
2,0,0,163,9,Some Random Commen with Id 2
3,0,0,110,5,Some Random Commen with Id 3
4,1,7,27,3,Some Random Commen with Id 4
5,1,7,97,7,Some Random Commen with Id 5
6,1,7,31,8,Some Random Commen with Id 6
7,2,6,58,7,Some Random Commen with Id 7
8,2,6,141,6,Some Random Commen with Id 8
9,2,6,158,4,Some Random Commen with Id 9
10,2,6,119,4,Some Random Commen with Id 10
11,2,6,192,7,Some Random Commen with Id 11
12,2,6,180,0,Some Random Commen with Id 12
13,2,6,24,9,Some Random Commen with Id 13
14,2,6,80,7,Some Random Commen with Id 14
15,3,1,171,9,Some Random Commen with Id 15
16,3,1,184,2,Some Random Commen with Id 16
17,3,1,18,3,Some Random Commen with Id 17
18,3,1,47,2,Some Random Commen with Id 18
19,3,1,42,3,Some Random Commen with Id 19
20,3,1,180,0,Some Random Commen with Id 20
21,3,1,120,6,Some Random Commen with Id 21
22,3,1,99,7,Some Random Commen with Id 22
23,3,1,52,3,Some Random Commen with Id 23
24,4,0,164,3,Some Random Commen with Id 24
25,4,0,66,8,Some Random Commen with Id 25
26,4,0,125,4,Some Random Commen with Id 26
27,4,0,56,4,Some Random Commen with Id 27
28,4,0,44,7,Some Random Commen with Id 28
29,4,0,87,5,Some Random Commen with Id 29
30,4,0,50,9,Some Random Commen with Id 30
31,4,0,118,1,Some Random Commen with Id 31
32,5,2,47,9,Some Random Commen with Id 32
33,5,2,4,3,Some Random Commen with Id 33
34,5,2,31,3,Some Random Commen with Id 34
35,5,2,67,1,Some Random Commen with Id 35
36,5,2,83,5,Some Random Commen with Id 36
37,5,2,132,4,Some Random Commen with Id 37
38,6,8,7,2,Some Random Commen with Id 38
39,6,8,171,3,Some Random Commen with Id 39
40,6,8,96,6,Some Random Commen with Id 40
41,6,8,183,8,Some Random Commen with Id 41
42,6,8,198,2,Some Random Commen with Id 42
43,7,5,140,6,Some Random Commen with Id 43
44,7,5,61,2,Some Random Commen with Id 44
45,7,5,145,2,Some Random Commen with Id 45
46,7,5,129,1,Some Random Commen with Id 46
47,7,5,2,4,Some Random Commen with Id 47
48,7,5,156,0,Some Random Commen with Id 48
49,7,5,103,3,Some Random Commen with Id 49
50,8,6,162,7,Some Random Commen with Id 50
51,8,6,173,8,Some Random Commen with Id 51
52,9,3,86,7,Some Random Commen with Id 52
53,9,3,113,3,Some Random Commen with Id 53
54,9,3,154,2,Some Random Commen with Id 54
55,9,3,92,4,Some Random Commen with Id 55
56,9,3,35,8,Some Random Commen with Id 56
57,12,6,87,7,Some Random Commen with Id 57
58,12,6,112,9,Some Random Commen with Id 58
59,12,6,22,1,Some Random Commen with Id 59
60,12,6,127,4,Some Random Commen with Id 60
61,12,6,107,6,Some Random Commen with Id 61
62,12,6,33,0,Some Random Commen with Id 62
63,13,2,110,3,Some Random Commen with Id 63
64,13,2,65,6,Some Random Commen with Id 64
65,13,2,85,0,Some Random Commen with Id 65
66,13,2,37,8,Some Random Commen with Id 66
67,13,2,16,3,Some Random Commen with Id 67
68,13,2,83,7,Some Random Commen with Id 68
69,13,2,51,5,Some Random Commen with Id 69
70,14,9,150,6,Some Random Commen with Id 70
71,14,9,103,2,Some Random Commen with Id 71
72,14,9,42,6,Some Random Commen with Id 72
73,14,9,122,5,Some Random Commen with Id 73
74,14,9,8,8,Some Random Commen with Id 74
75,16,9,150,6,Some Random Commen with Id 75
76,16,9,138,2,Some Random Commen with Id 76
77,16,9,198,9,Some Random Commen with Id 77
78,16,9,127,2,Some Random Commen with Id 78
79,16,9,139,9,Some Random Commen with Id 79
80,16,9,87,3,Some Random Commen with Id 80
81,17,1,39,3,Some Random Commen with Id 81
82,18,9,57,0,Some Random Commen with Id 82
83,19,9,21,4,Some Random Commen with Id 83
84,19,9,27,6,Some Random Commen with Id 84
85,19,9,110,7,Some Random Commen with Id 85
86,19,9,44,5,Some Random Commen with Id 86
87,19,9,18,1,Some Random Commen with Id 87
88,20,6,4,2,Some Random Commen with Id 88
89,20,6,155,5,Some Random Commen with Id 89
90,20,6,196,9,Some Random Commen with Id 90
91,21,8,61,1,Some Random Commen with Id 91
92,22,9,55,0,Some Random Commen with Id 92
93,22,9,110,5,Some Random Commen with Id 93
94,22,9,91,9,Some Random Commen with Id 94
95,23,3,196,1,Some Random Commen with Id 95
96,23,3,94,0,Some Random Commen with Id 96
97,23,3,5,4,Some Random Commen with Id 97
98,24,6,37,7,Some Random Commen with Id 98
99,24,6,57,1,Some Random Commen with Id 99
100,24,6,79,8,Some Random Commen with Id 100
101,24,6,83,1,Some Random Commen with Id 101
102,24,6,158,8,Some Random Commen with Id 102
103,24,6,105,9,Some Random Commen with Id 103
104,25,8,83,1,Some Random Commen with Id 104
105,25,8,22,0,Some Random Commen with Id 105
106,25,8,180,3,Some Random Commen with Id 106
107,25,8,25,9,Some Random Commen with Id 107
108,25,8,76,6,Some Random Commen with Id 108
109,25,8,115,8,Some Random Commen with Id 109
110,25,8,39,2,Some Random Commen with Id 110
111,26,5,22,8,Some Random Commen with Id 111
112,26,5,33,2,Some Random Commen with Id 112
113,26,5,147,6,Some Random Commen with Id 113
114,26,5,121,0,Some Random Commen with Id 114
115,28,3,42,9,Some Random Commen with Id 115
116,28,3,150,7,Some Random Commen with Id 116
117,28,3,51,0,Some Random Commen with Id 117
118,28,3,96,7,Some Random Commen with Id 118
119,28,3,130,4,Some Random Commen with Id 119
120,28,3,199,4,Some Random Commen with Id 120
121,29,4,103,4,Some Random Commen with Id 121
122,30,6,157,8,Some Random Commen with Id 122
123,30,6,79,7,Some Random Commen with Id 123
124,30,6,98,6,Some Random Commen with Id 124
125,30,6,22,7,Some Random Commen with Id 125
126,31,8,19,4,Some Random Commen with Id 126
127,31,8,86,3,Some Random Commen with Id 127
128,31,8,198,2,Some Random Commen with Id 128
129,31,8,152,4,Some Random Commen with Id 129
130,31,8,111,7,Some Random Commen with Id 130
131,32,7,21,2,Some Random Commen with Id 131
132,33,6,128,7,Some Random Commen with Id 132
133,33,6,123,6,Some Random Commen with Id 133
134,33,6,128,1,Some Random Commen with Id 134
135,33,6,198,0,Some Random Commen with Id 135
136,33,6,143,4,Some Random Commen with Id 136
137,33,6,133,9,Some Random Commen with Id 137
138,33,6,25,5,Some Random Commen with Id 138
139,34,1,164,6,Some Random Commen with Id 139
140,34,1,60,6,Some Random Commen with Id 140
141,34,1,2,5,Some Random Commen with Id 141
142,34,1,65,2,Some Random Commen with Id 142
143,34,1,187,8,Some Random Commen with Id 143
144,34,1,174,2,Some Random Commen with Id 144
145,34,1,16,5,Some Random Commen with Id 145
146,35,8,2,0,Some Random Commen with Id 146
147,35,8,83,5,Some Random Commen with Id 147
148,35,8,113,0,Some Random Commen with Id 148
149,35,8,192,2,Some Random Commen with Id 149
150,35,8,96,0,Some Random Commen with Id 150
151,35,8,173,7,Some Random Commen with Id 151
152,36,2,32,8,Some Random Commen with Id 152
153,36,2,152,5,Some Random Commen with Id 153
154,36,2,64,2,Some Random Commen with Id 154
155,36,2,1,8,Some Random Commen with Id 155
156,36,2,29,9,Some Random Commen with Id 156
157,36,2,187,7,Some Random Commen with Id 157
158,36,2,170,8,Some Random Commen with Id 158
159,37,3,119,5,Some Random Commen with Id 159
160,37,3,17,8,Some Random Commen with Id 160
161,37,3,83,5,Some Random Commen with Id 161
162,37,3,23,9,Some Random Commen with Id 162
163,37,3,167,8,Some Random Commen with Id 163
164,37,3,168,0,Some Random Commen with Id 164
165,37,3,62,6,Some Random Commen with Id 165
166,37,3,25,0,Some Random Commen with Id 166
167,37,3,56,0,Some Random Commen with Id 167
168,38,1,22,7,Some Random Commen with Id 168
169,38,1,24,3,Some Random Commen with Id 169
170,38,1,87,0,Some Random Commen with Id 170
171,38,1,156,7,Some Random Commen with Id 171
172,38,1,9,1,Some Random Commen with Id 172
173,38,1,168,1,Some Random Commen with Id 173
174,39,8,73,0,Some Random Commen with Id 174
175,39,8,152,0,Some Random Commen with Id 175
